Order,Family,Genus,Species,Name,C-value,Mbp,Method,Metamorphosis
Diptera,Chironomidae,Clunio,tsushimensis,Clunio tsushimensis,0.07,68.46,FCM,Complete
Diptera,Chironomidae,Diamesa,japonica,Diamesa japonica,0.08,78.24,FCM,Complete
Diptera,Chironomidae,Hydrobaenus,tsukubalatus,Hydrobaenus tsukubalatus,0.08,78.24,FCM,Complete
Diptera,Cecidomyiidae,Mayetiola,destructor,Mayetiola destructor,0.09,88.02,NS,Complete
Diptera,Chironomidae,Tanytarsus,takahashii,Tanytarsus takahashii,0.09,88.02,FCM,Complete
Diptera,Chironomidae,Cricotopus,bicinctus,Cricotopus bicinctus,0.1,97.8,FCM,Complete
Diptera,Chironomidae,Paratanytarsus,grimmii,Paratanytarsus grimmii,0.1,97.8,FCM,Complete
Diptera,Chironomidae,Polypedilum,nubifer,Polypedilum nubifer,0.1,97.8,FCM,Complete
Diptera,Chironomidae,Polypedilum,vanderplanki,Polypedilum vanderplanki,0.1,97.8,FCM,Complete
Diptera,Chironomidae,Sergentia,kizakiensis,Sergentia kizakiensis,0.1,97.8,FCM,Complete
Diptera,Psychodidae,Psychoda,cinerea,Psychoda cinerea,0.1,97.8,FCM,Complete
Diptera,Psychodidae,Psychoda,cinerea,Psychoda cinerea,0.1,97.8,FCM,Complete
Diptera,Scatopsidae,Coboldia,fuscipes,Coboldia fuscipes,0.1,97.8,FCM,Complete
Diptera,Scatopsidae,Coboldia,fuscipes,Coboldia fuscipes,0.1,97.8,FCM,Complete
Hymenoptera,Braconidae,Aphidius,colemani,Aphidius colemani,0.1,97.8,FCM,Complete
Hymenoptera,Braconidae,Peristenus,stygicus,Peristenus stygicus,0.1,97.8,FIA,Complete
Diptera,Chironomidae,Cricotopus,sylvestris,Cricotopus sylvestris,0.11,107.58,FCM,Complete
Diptera,Chironomidae,Polypedilum,tamanigrum,Polypedilum tamanigrum,0.11,107.58,FCM,Complete
Hymenoptera,Braconidae,Aphidius,ervi,Aphidius ervi,0.11,107.58,FIA,Complete
Hymenoptera,Braconidae,Macrocentrus,grandii,Macrocentrus grandii,0.11,107.58,FIA,Complete
Phthiraptera,Pediculidae,Pediculus,humanus,Pediculus humanus,0.11,107.58,FCM,Incomplete
Phthiraptera,Pediculidae,Pediculus,humanus,Pediculus humanus,0.11,107.58,FCM,Incomplete
Strepsiptera,Myrmecolacidae,Caenocholax,fenyesi,Caenocholax fenyesi,0.11,107.58,FCM,Complete
Diptera,Cecidomyiidae,Mayetiola,destructor,Mayetiola destructor,0.12,117.36,FCM,Complete
Diptera,Chironomidae,Chironomus,nippodorsalis,Chironomus nippodorsalis,0.12,117.36,FCM,Complete
Diptera,Chironomidae,Dicrotendipes,pelochloris,Dicrotendipes pelochloris,0.12,117.36,FCM,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.12,117.36,BCA,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.12,117.36,BCA,Complete
Diptera,Chironomidae,Prodiamesa,olivacea,Prodiamesa olivacea,0.13,127.14,NS,Complete
Diptera,Chironomidae,Prodiamesa,olivacea,Prodiamesa olivacea,0.13,127.14,FD,Complete
Diptera,Chironomidae,Stictochironomus,akizukii,Stictochironomus akizukii,0.13,127.14,FCM,Complete
Diptera,Chironomidae,Telmatogeton,japonicus,Telmatogeton japonicus,0.13,127.14,FCM,Complete
Diptera,Drosophilidae,Drosophila,buzzatii,Drosophila buzzatii,0.13,127.14,FIA,Complete
Diptera,Drosophilidae,Drosophila,mercatorum,Drosophila mercatorum,0.13,127.14,FCM,Complete
Hymenoptera,Braconidae,Peristenus,digoneutis,Peristenus digoneutis,0.13,127.14,FIA,Complete
Hymenoptera,Braconidae,Praon,sp.,Praon sp.,0.13,127.14,FIA,Complete
Strepsiptera,Stylopidae,Xenos,vesparum,Xenos vesparum,0.13,127.14,FCM,Complete
Diptera,Drosophilidae,Drosophila,busckii,Drosophila busckii,0.14,136.92,FCM,Complete
Diptera,Drosophilidae,Drosophila,erecta,Drosophila erecta,0.14,136.92,FCM,Complete
Diptera,Drosophilidae,Drosophila,pseudoobscura,Drosophila pseudoobscura,0.14,136.92,FCM,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.14,136.92,FCM,Complete
Hymenoptera,Braconidae,Aphidius,ervi,Aphidius ervi,0.14,136.92,FCM,Complete
Diptera,Drosophilidae,Drosophila,bromeliae,Drosophila bromeliae,0.14,137.5,,Complete
Diptera,Drosophilidae,Drosophila,bromeliae,Drosophila bromeliae,0.15,145.2,,Complete
Diptera,Drosophilidae,Drosophila,acanthoptera,Drosophila acanthoptera,0.15,145.6,,Complete
Diptera,Chironomidae,Chironomus,plumosus,Chironomus plumosus,0.15,146.7,FCM,Complete
Diptera,Chironomidae,Chironomus,sulfurosus,Chironomus sulfurosus,0.15,146.7,FCM,Complete
Diptera,Chironomidae,Cricotopus,sp.,Cricotopus sp.,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,erecta,Drosophila erecta,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,mauritiana,Drosophila mauritiana,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,mauritiana,Drosophila mauritiana,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,subobscura,Drosophila subobscura,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Drosophila,teissieri,Drosophila teissieri,0.15,146.7,FCM,Complete
Diptera,Drosophilidae,Hirtodrosophila,pictiventris,Hirtodrosophila pictiventris,0.15,146.7,FCM,Complete
Diptera,Sepsidae,Themira,lucida,Themira lucida,0.15,146.7,FCM,Complete
Hymenoptera,Vespidae,Zethus,slossonae,Zethus slossonae,0.15,146.7,FIA,Complete
Diptera,Drosophilidae,Drosophila,pachea,Drosophila pachea,0.15,148.3,,Complete
Diptera,Drosophilidae,Drosophila,acanthoptera,Drosophila acanthoptera,0.16,155.8,,Complete
Diptera,Drosophilidae,Drosophila,navojoa,Drosophila navojoa,0.16,156.2,,Complete
Coleoptera,Silvanidae,Oryzaephilus,surinamensis,Oryzaephilus surinamensis,0.16,156.48,FCM,Complete
Coleoptera,Silvanidae,Oryzaephilus,surinamensis,Oryzaephilus surinamensis,0.16,156.48,FCM,Complete
Coleoptera,Tenebrionidae,Tribolium,audax,Tribolium audax,0.16,156.48,FD,Complete
Diptera,Cecidomyiidae,Mayetiola,destructor,Mayetiola destructor,0.16,156.48,FCM,Complete
Diptera,Chironomidae,Ablabesmyia,monilis,Ablabesmyia monilis,0.16,156.48,FCM,Complete
Diptera,Chironomidae,Chironomus,fusciceps,Chironomus fusciceps,0.16,156.48,FCM,Complete
Diptera,Chironomidae,Chironomus,salinarius,Chironomus salinarius,0.16,156.48,FCM,Complete
Diptera,Chironomidae,Glyptotendipes,tokunagai,Glyptotendipes tokunagai,0.16,156.48,FCM,Complete
Diptera,Chironomidae,Tanypus,punctipennis,Tanypus punctipennis,0.16,156.48,FCM,Complete
Diptera,Dixidae,Dixa,obscura,Dixa obscura,0.16,156.48,FD,Complete
Diptera,Drosophilidae,Drosophila,erecta,Drosophila erecta,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,guttifera,Drosophila guttifera,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,mojavensis,Drosophila mojavensis,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,pseudoobscura,Drosophila pseudoobscura,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,santomea,Drosophila santomea,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,teissieri,Drosophila teissieri,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,varians,Drosophila varians,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,yakuba,Drosophila yakuba,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Zaprionus,ghesquerei,Zaprionus ghesquerei,0.16,156.48,FCM,Complete
Diptera,Sepsidae,Meroplius,alberquerquei,Meroplius alberquerquei,0.16,156.48,FCM,Complete
Hymenoptera,Braconidae,Aphidius,ervi,Aphidius ervi,0.16,156.48,FCM,Complete
Hymenoptera,Braconidae,Dacnusa,sibirica,Dacnusa sibirica,0.16,156.48,FCM,Complete
Hymenoptera,Braconidae,Habrobracon,juglandis,Habrobracon juglandis,0.16,156.48,FD,Complete
Hymenoptera,Braconidae,Habrobracon,serinopae,Habrobracon serinopae,0.16,156.48,FD,Complete
Hymenoptera,Braconidae,Macrocentrus,cingulum,Macrocentrus cingulum,0.16,156.48,FCM,Complete
Diptera,Drosophilidae,Drosophila,mulleri,Drosophila mulleri,0.16,158.9,,Complete
Diptera,Drosophilidae,Drosophila,mercatorum,Drosophila mercatorum,0.16,159.1,,Complete
Diptera,Drosophilidae,Drosophila,mayguana,Drosophila mayguana,0.17,161.7,,Complete
Diptera,Drosophilidae,Drosophila,mauritiana,Drosophila mauritiana,0.17,162.6,,Complete
Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,0.17,163.8,,Complete
Diptera,Drosophilidae,Drosophila,mauritiana,Drosophila mauritiana,0.17,164.9,,Complete
Diptera,Drosophilidae,Drosophila,repleta,Drosophila repleta,0.17,165.5,,Complete
Diptera,Drosophilidae,Drosophila,mojavensis,Drosophila mojavensis,0.17,165.6,,Complete
Diptera,Drosophilidae,Drosophila,neohypocausta,Drosophila neohypocausta,0.17,165.6,,Complete
Diptera,Drosophilidae,Drosophila,neohypocausta,Drosophila neohypocausta,0.17,165.7,,Complete
Coleoptera,Chrysomelidae,Crioceris,paracenthesis,Crioceris paracenthesis,0.17,166.26,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,destructor,Tribolium destructor,0.17,166.26,FD,Complete
Diptera,Chironomidae,Chironomus,acerbiphilus,Chironomus acerbiphilus,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,kanapiae,Drosophila kanapiae,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.17,166.26,MGD,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,mojavensis,Drosophila mojavensis,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,repleta,Drosophila repleta,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,sechellia,Drosophila sechellia,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,sechellia,Drosophila sechellia,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,sechellia,Drosophila sechellia,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,tolteca,Drosophila tolteca,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Drosophila,yakuba,Drosophila yakuba,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Scaptodrosophila,palmae,Scaptodrosophila palmae,0.17,166.26,FCM,Complete
Diptera,Drosophilidae,Zaprionus,davidi,Zaprionus davidi,0.17,166.26,FCM,Complete
