"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Ablabesmyia longistyla",NA,NA,"OP927407.1","658",NA,NA,NA,NA
"Ablabesmyia monilis",NA,NA,"OP927670.1","658",NA,NA,NA,NA
"Ablabesmyia phatta",NA,NA,"OP927624.1","658",NA,NA,NA,NA
"Achaetella varipes",NA,NA,NA,NA,NA,NA,NA,NA
"Acinia fucata",NA,NA,NA,NA,NA,NA,NA,NA
"Acinia mallochi",NA,NA,NA,NA,NA,NA,NA,NA
"Acridiophaga aculeata",NA,NA,NA,NA,NA,NA,NA,NA
"Acrophthalmyda paulseni",NA,NA,NA,NA,NA,NA,NA,NA
"Actina incisularis",NA,NA,NA,NA,NA,NA,NA,NA
"Actina incisurali",NA,NA,NA,NA,NA,NA,NA,NA
"Adetoxenus Formosus",NA,NA,NA,NA,NA,NA,NA,NA
"Adoxomyia rustica",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes aegypti","OR685160.1","666","OQ144269.1","499","MW248959.1","715",NA,NA
"Aedes albopictus","OR687370.1","667","OQ144273.1","499","OQ145430.1","14900","OQ145430.1","14900"
"Aedes alcasidi",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes atropalpus",NA,NA,"JF868951.1","658","AF425845.1","2300",NA,NA
"Aedes bahamensis",NA,NA,"JX259531.1","658",NA,NA,NA,NA
"Aedes canadensis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes cinereus",NA,NA,"MF820909.1","591",NA,NA,NA,NA
"Aedes communis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes cooki",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes excrucians",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes fitchii",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes flavopictus","NC_050044.1","16060","LC646428.1","658","OQ145431.1","14893","OQ145431.1","14893"
"Aedes hebrideus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes heischii",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes impiger",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes implicatus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes japonicus","OR668894.1","15193","MF822589.1","567","KC913579.1","681",NA,NA
"Aedes katherinensis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes kesseli",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes koreicus","OR668893.1","15492","OM307662.1","680",NA,NA,NA,NA
"Aedes malayensis",NA,NA,"MG921176.1","658",NA,NA,NA,NA
"Aedes mascarensis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes metallicus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes micropterus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes polynesiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes pseudalbopictus",NA,NA,"KC913584.1","681","KC913584.1","681",NA,NA
"Aedes pseudoscutellaris",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes pullatus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes scutellaris",NA,NA,"MN733758.1","715",NA,NA,NA,NA
"Aedes seatoi",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes sierrensis",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes simpsoni",NA,NA,"LC473669.1","658",NA,NA,NA,NA
"Aedes stimulans",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes taeniorhynchus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes thomsoni",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes togoi",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes triseriatus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes unilenatus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes varipalpus",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes vittatus",NA,NA,"LC507873.1","659","KC913572.1","681",NA,NA
"Aedes zoosophus",NA,NA,NA,NA,NA,NA,NA,NA
"Afrodacus jarvisi",NA,NA,NA,NA,NA,NA,NA,NA
"Agria affinis",NA,NA,"MF859885.1","582",NA,NA,NA,NA
"Albuquerquea latifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Allographa exotica",NA,NA,NA,NA,NA,NA,NA,NA
"Allographa hortensis",NA,NA,NA,NA,NA,NA,NA,NA
"Allographa neotropica",NA,NA,NA,NA,NA,NA,NA,NA
"Allographa piurana",NA,NA,NA,NA,NA,NA,NA,NA
"Allographa pulchra",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta calopoides",NA,NA,NA,NA,NA,NA,NA,NA
